Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.002945,0.002945,0.001073,2.291,1.198,0.002945
Belknap,Unknown,Unknown,0.000979,2.325,1.0,0.002276
Carroll,Unknown,Unknown,0.001145,2.3236,1.0,0.00266
Cheshire,Unknown,Unknown,0.000802,2.2941,1.0909,0.002006
Coos,Unknown,Unknown,0.000349,2.247,1.25,0.000979
Grafton,Unknown,Unknown,0.000712,2.3121,1.0,0.001646
Hillsborough,Unknown,Unknown,0.001235,2.3264,1.2415,0.003567
Merrimack,Unknown,Unknown,0.001083,2.291,1.2636,0.003136
Rockingham,Unknown,Unknown,0.001039,2.2732,1.0881,0.002571
Strafford,Unknown,Unknown,0.000689,2.2376,1.4127,0.002178
Sullivan,Unknown,Unknown,0.001414,2.3621,1.6216,0.005415
