Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.005024,0.005024,0.002034,2.2863,1.0801,0.005024
Atlantic,0.004311,0.004311,0.001737,2.2863,1.0855,0.004311
Bergen,0.00602,0.00602,0.002469,2.2863,1.0663,0.00602
Burlington,0.004053,0.004053,0.001639,2.2863,1.0816,0.004053
Camden,0.003489,0.003489,0.001526,2.2863,1.0,0.003489
Cape May,0.002881,0.002881,0.00126,2.2863,1.0,0.002881
Cumberland,0.003509,0.003509,0.001465,2.2863,1.0481,0.003509
Essex,0.005766,0.005766,0.002272,2.2863,1.1102,0.005766
Gloucester,0.003169,0.003169,0.001354,2.2863,1.0234,0.003169
Hudson,0.005219,0.005219,0.002283,2.2863,1.0,0.005219
Hunterdon,0.005777,0.005777,0.001922,2.2863,1.3149,0.005777
Mercer,0.004995,0.004995,0.001818,2.2863,1.2018,0.004995
Middlesex,0.004628,0.004628,0.002012,2.2863,1.0061,0.004628
Monmouth,0.005514,0.005514,0.002167,2.2863,1.113,0.005514
Morris,0.004884,0.004884,0.001995,2.2863,1.071,0.004884
Ocean,0.004948,0.004948,0.00194,2.2863,1.1156,0.004948
Passaic,0.006819,0.006819,0.002608,2.2863,1.1434,0.006819
Salem,0.003228,0.003228,0.001202,2.2863,1.1746,0.003228
Somerset,0.005422,0.005422,0.002022,2.2863,1.1731,0.005422
Sussex,0.004728,0.004728,0.001879,2.2863,1.1004,0.004728
Union,0.004674,0.004674,0.002008,2.2863,1.0182,0.004674
Warren,0.008139,0.008139,0.002242,2.2863,1.5878,0.008139
