Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.0037,0.0037,0.00143,2.2814,1.1338,0.0037
Dukes and Nantucket,Unknown,Unknown,0.001531,2.2814,1.3438,0.004695
Barnstable,Unknown,Unknown,0.001094,2.2894,1.0,0.002505
Berkshire,0.002821,0.002821,0.001249,2.2596,1.0,0.002821
Bristol,0.002743,0.002743,0.001173,2.2956,1.0185,0.002743
Essex,0.003709,0.003709,0.001471,2.3032,1.0943,0.003709
Franklin,0.003537,0.003537,0.001168,2.2798,1.3279,0.003537
Hampden,0.005767,0.005767,0.00208,2.3121,1.1993,0.005767
Hampshire,0.003177,0.003177,0.001144,2.2155,1.2534,0.003177
Middlesex,0.003042,0.003042,0.00114,2.2766,1.1724,0.003042
Norfolk,0.002236,0.002236,0.000956,2.2682,1.0305,0.002236
Plymouth,0.002491,0.002491,0.00099,2.2766,1.1052,0.002491
Suffolk,0.003163,0.003163,0.001207,2.2831,1.1481,0.003163
Worcester,0.002898,0.002898,0.001098,2.2716,1.162,0.002898
