Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.003489,0.003489,0.00146,2.3899,1.0,0.003489
Bernalillo,0.003177,0.003177,0.00135,2.3532,1.0,0.003177
Catron,0.003412,0.003412,0.001418,2.4071,1.0,0.003412
Chaves,0.004447,0.004447,0.001377,2.348,1.375,0.004447
Cibola,0.003995,0.003995,0.001724,2.3165,1.0,0.003995
Colfax,0.003627,0.003627,0.001172,2.1415,1.4444,0.003627
Curry,0.002423,0.002423,0.001062,2.2814,1.0,0.002423
De Baca,0.004102,0.004102,0.001716,2.3899,1.0,0.004102
Dona Ana,0.005387,0.005387,0.002163,2.4903,1.0,0.005387
Eddy,0.002015,0.002015,0.000838,2.4037,1.0,0.002015
Grant,0.005011,0.005011,0.002111,2.3732,1.0,0.005011
Guadalupe,0.009564,0.009564,0.003256,2.2596,1.3,0.009564
Harding,0.003824,0.003824,0.0016,2.3899,1.0,0.003824
Hidalgo,0.004166,0.004166,0.001667,2.4986,1.0,0.004166
Lea,0.004912,0.004912,0.001998,2.4586,1.0,0.004912
Lincoln,0.003583,0.003583,0.001533,2.3374,1.0,0.003583
Los Alamos,0.001368,0.001368,0.000568,2.4093,1.0,0.001368
Luna,0.003426,0.003426,0.001476,2.3208,1.0,0.003426
McKinley,0.00499,0.00499,0.00206,2.4224,1.0,0.00499
Mora,0.004801,0.004801,0.001106,2.1707,2.0,0.004801
Otero,0.003923,0.003923,0.00163,2.4071,1.0,0.003923
Quay,0.003317,0.003317,0.001454,2.2814,1.0,0.003317
Rio Arriba,0.003188,0.003188,0.00131,2.3841,1.0204,0.003188
Roosevelt,0.00309,0.00309,0.001297,2.3817,1.0,0.00309
Sandoval,0.002871,0.002871,0.001199,2.3934,1.0,0.002871
San Juan,0.005219,0.005219,0.002097,2.4884,1.0,0.005219
San Miguel,0.003095,0.003095,0.001393,2.2217,1.0,0.003095
Santa Fe,0.002117,0.002117,0.000898,2.3583,1.0,0.002117
Sierra,0.0043,0.0043,0.001575,2.2176,1.2308,0.0043
Socorro,0.003107,0.003107,0.001322,2.3493,1.0,0.003107
Taos,0.000836,0.000836,0.000367,2.2798,1.0,0.000836
Torrance,0.003564,0.003564,0.001488,2.3957,1.0,0.003564
Union,0.002036,0.002036,0.000739,2.7544,1.0,0.002036
Valencia,0.003002,0.003002,0.001278,2.3493,1.0,0.003002
