Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.001068,0.001068,0.000485,2.2002,1.0,0.001068
Aleutians East,0.002041,0.002041,0.000899,2.2699,1.0,0.002041
Aleutians West,0.000781,0.000781,0.000355,2.2002,1.0,0.000781
Anchorage,0.001124,0.001124,0.000503,2.2318,1.0,0.001124
Bethel,0.002903,0.002903,0.00136,2.1349,1.0,0.002903
Bristol Bay,Unknown,Unknown,0.001196,2.2002,1.0,0.002632
Copper River,Unknown,Unknown,0.001112,2.2002,1.0,0.002446
Chugach,Unknown,Unknown,0.000148,2.2002,1.0,0.000326
Denali,0.001049,0.001049,0.000477,2.2002,1.0,0.001049
Dillingham,0.008104,0.008104,0.001831,2.2134,2.0,0.008104
Fairbanks North Star,0.000462,0.000462,0.000217,2.1315,1.0,0.000462
Haines,0.00087,0.00087,0.000395,2.2002,1.0,0.00087
Juneau,0.0008,0.0008,0.000375,2.1315,1.0,0.0008
Kenai Peninsula,0.001142,0.001142,0.000511,2.2357,1.0,0.001142
Ketchikan Gateway,0.000801,0.000801,0.00036,2.2278,1.0,0.000801
Kodiak Island,0.004003,0.004003,0.000923,2.168,2.0,0.004003
Kusilvak,0.003261,0.003261,0.001443,2.2596,1.0,0.003261
Bristol Bay plus Lake and Peninsula,0.000912,0.000912,0.000412,2.2134,1.0,0.000912
Matanuska-Susitna,0.000935,0.000935,0.000415,2.2506,1.0,0.000935
Nome,0.000845,0.000845,0.0004,2.1129,1.0,0.000845
North Slope,0.000431,0.000431,0.000203,2.1207,1.0,0.000431
Northwest Arctic,0.005114,0.005114,0.002362,2.1653,1.0,0.005114
Petersburg,0.00275,0.00275,0.001225,2.2451,1.0,0.00275
Prince of Wales-Hyder,0.002466,0.002466,0.000806,2.2941,1.3333,0.002466
Sitka,0.002522,0.002522,0.000589,2.1415,2.0,0.002522
Skagway,0.00186,0.00186,0.000845,2.2002,1.0,0.00186
Southeast Fairbanks,0.002302,0.002302,0.001016,2.2665,1.0,0.002302
Valdez-Cordova,0.000239,0.000239,0.000109,2.2002,1.0,0.000239
Wrangell,0.002654,0.002654,0.001199,2.2134,1.0,0.002654
Yakutat,0.007622,0.007622,0.003311,2.3017,1.0,0.007622
Yukon-Koyukuk,0.001308,0.001308,0.000574,2.2798,1.0,0.001308
