Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.002388,0.002388,0.000979,2.4393,1.0,0.002388
Churchill,0.001674,0.001674,0.000723,2.3165,1.0,0.001674
Clark,0.002505,0.002505,0.001024,2.4476,1.0,0.002505
Douglas,0.000894,0.000894,0.000389,2.3017,1.0,0.000894
Elko,0.000705,0.000705,0.000284,2.4818,1.0,0.000705
Esmeralda,0.002794,0.002794,0.001145,2.4393,1.0,0.002794
Eureka,0.001202,0.001202,0.000493,2.4393,1.0,0.001202
Humboldt,0.000128,0.000128,5.9e-05,2.1478,1.0,0.000128
Lander,0.00441,0.00441,0.000904,2.4393,2.0,0.00441
Lincoln,0.001883,0.001883,0.000772,2.4393,1.0,0.001883
Lyon,0.001548,0.001548,0.000661,2.3427,1.0,0.001548
Mineral,0.004704,0.004704,0.001998,2.3545,1.0,0.004704
Nye,0.001872,0.001872,0.000731,2.5621,1.0,0.001872
Pershing,0.009003,0.009003,0.001784,2.5226,2.0,0.009003
Storey,0.00355,0.00355,0.001455,2.4393,1.0,0.00355
Washoe,0.001661,0.001661,0.0007,2.3732,1.0,0.001661
White Pine,0.002178,0.002178,0.000939,2.3179,1.0,0.002178
Carson City,0.002998,0.002998,0.001073,2.2732,1.2292,0.002998
